Tokens	Regularised	Category	Subjects	
["hips"]	hips	body		
["hip"]	hip	body		
				
["left", "buttock"]	left buttock	body		
				
["right", "buttock"]	right buttock	body		
				
["buttocks"]	buttocks	body		
["buttock"]	buttock	body		
				
["knee", "cap"]	knee cap	body		
["both", "knees"]	both knees	body		
				
["knee"]	knee	body		
["knees"]	knees	body		
			
["left", "leg"]	left leg	body		
["right", "leg"]	right leg	body		
["both", "legs"]	both legs	body		
["each", "leg"]	each leg	body		
				
["tattoo", "mark"]	tattoo mark	tattoo mark		
["tattoo", "marks"]	tattoo marks	tattoo mark		
["dot"]	dot	tattoo mark		
["dots"]	dot	tattoo mark		
["indian", "ink"]	indian ink	tattoo mark		
["ink"]	ink	tattoo mark		
				
["birth", "mark"]	birthmark	mark		
["birthmark"]	birthmark	mark		
["mole"]	mole	mark		
["moles"]	moles	mark		
["abscess", "scar"]	abscess scar	mark		
["abscess", "scars"]	abscess scars	mark		
["acne"]	acne	mark		
["boil"]	boil	mark		
["boil", "scar"]	boil scar	mark		
["boil", "scars"]	boil scar	mark		
["scurvy"]	scurvy	mark		
["varicose", "veins"]	varicose veins	adjective		
				
				
				
["left", ","]	left hanging body specifier	hanging body specifier		
["right", ","]	right hanging body specifier	hanging body specifier		
["left", "and"]	left hanging body specifier	hanging body specifier		
["right", "and"]	right hanging body specifier	hanging body specifier		
				
["left", "."]	left following body specifier	following body specifier		
["right", "."]	right following body specifier	following body specifier		
				
				
["small"]	small	adjective		
["large"]	large	adjective		
##["faint"]	faint	adjective		
["slightly"]	slightly	adjective		
["indistinct"]	indistinct	adjective		
["long"]	long	adjective		
["v", "shaped"]	v shaped	adjective		
##["fleshy"]	fleshy	adjective		
##["sunken"]	sunken	adjective		
##["freckled"]	freckled	adjective		
				
				
				
["blue"]	blue	colour		
##["brown"]	brown	colour		
["white"]	white	colour		
["black"]	black	colour		
["grey"]	grey	colour		
["red"]	red	colour		
["hazel"]	hazel	colour		
["light"]	light	colour		
				
["two"]	two	number		
["2"]	two	number		
				
["pockmark"]	pockmarked	general description		
["pock", "marked"]	pockmarked	general description		
["pox"]	pockmarked	general description		
["ppitted"]	pockmarked	general description		
["p", ".", "pitted"]	pockmarked	general description		
["pock", "pitted"]	pockmarked	general description		
["pockpitted"]	pockmarked	general description		
["pockmarked"]	pockmarked	general description		
["deaf"]	deaf	general description		
["speech", "impediment"]	speech impediment	general description		
				
				
				
				
["ears", "pierced"]	ears pierced	general description		
["pierced", "ears"]	ears pierced	general description		
			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
["crosse"]	cross	design	religion	
["star"]	star	design	astronomy	
["man"]	man	design		
["woman"]	woman	design		
["ballet"]	ballet	design		
["girl"]	girl	design		
["castle"]	castle	design		
["scroll"]	scroll	design		
["pansy"]	pansy	design	nature	
["shield"]	shield	design		
["man's"]	man'	design		
["woman's"]	woman'	design		
["shoe"]	shoe	design		
["pot"]	pot	design		
["stroke"]	stroke	design		
["arrow"]	arrow	design		
["tail"]	tail	design		
["crescent"]	crescent	design		
["maltese"]	maltese	design		
["men"]	men	design		
["pedestal"]	pedestal	design		
["attitude"]	attitude	design		
["figure"]	figure	design		
["spray"]	spray	design		
["cushion"]	cushion	design		
["wheel"]	wheel	design		
["women"]	women	design		
["hope"]	hope	design		
["charity"]	charity	design		
["forget"]	forget	design		
["design"]	design	design		
["clasped"]	clasped	design		
["kettle"]	kettle	possible surname		
["wreath"]	wreath	design	death	
["web"]	web	body specifier		
["half"]	half	design		
["dart"]	dart	design		
["coat"]	coat	design		
["pricked"]	pricked	mark		
["serpent"]	serpent	design		
["monument"]	monument	design		
["child"]	child	design		
["drum"]	drum	design		
["goddess"]	goddes	design		
["chinaman"]	chinaman	design	raceethnicity	
["british"]	british	design	britain nationalidentity	
["cornish"]	cornish	design		
["sale"]	sale	design		
["english"]	english	design	britain nationalidentity	
["violin"]	violin	design	pleasure	
["laurel"]	laurel	design		
["vase"]	vase	design		
["clown"]	clown	design	pleasure	
["free"]	free	design		
["cutlas"]	cutlas	design	naval	
["my"]	my	written words		
["actress"]	actres	design	pleasure	actress
["playing"]	playing	design	pleasure	
["you"]	you	written words		
["standing"]	standing	design		
["burmese"]	burmese	design		
["women's"]	women	design		
				
["palm", "tree"]	palm tree	design	nature	
["palm", "and", "snake"]	palm and snake	design	nature	
["palm"]	palm	design	nature	
["palm", "left", "hand"]	palm left hand	body		
["palm", "right", "hand"]	palm right hand	body		
["in", "palm"]	in palm	body		
["on", "palm"]	on palm	body		
				
["hand"]	hand	body		
["mouth"]	mouth	body		
["wrist"]	wrist	body		
["wrists"]	wrist	body		
["teeth"]	teeth	body		
["tooth"]	tooth	body		
["breast"]	breast	body		
["chest"]	chest	body		
["groin"]	groin	body		
["thigh"]	thigh	body		
["ankle"]	ankle	body		
["ankles"]	ankles	body		
["face"]	face	body		
["navel"]	navel	body		
["upperarm"]	upperarm	body		
["feet"]	feet	body		
["shin"]	shin	body		
["throat"]	throat	body		
["belly"]	belly	body		
["kneecap"]	kneecap	body		
["vein"]	vein	body		
["chin"]	chin	body		
["temple"]	temple	body		
["lip"]	lip	body		
["loin"]	loin	body		
["calf"]	calf	body		
["forefinger"]	forefinger	body		
["hair"]	hair	body		
["jaw"]	jaw	body		
["bone"]	bone	body		
["nail"]	nail	body		
["foot"]	foot	body		
["toe"]	toe	body		
["toes"]	toes	body		
["fore"]	fore	body		
["eyelid"]	eyelid	body		
["nipple"]	nipple	body		
["stomach"]	stomach	body		
["shoulderblade"]	shoulderblade	body		
["body"]	body	body		
["knuckle"]	knuckle	body		
				
["mark"]	mark	mark		
["marks"]	marks	mark		
["marked"]	marked	mark		
##["burnt"]	burnt	mark		
["wart"]	wart	mark		
["spot"]	spot	mark		
["absces"]	absces	mark		
["tumour"]	tumour	mark		
["pierced"]	pierced	mark		
				
				
["in"]	in	body specifier		
["first"]	first	body specifier		
["second"]	second	body specifier		
["2nd"]	second	body specifier		
["third"]	third	body specifier		
["fourth"]	fourth	body specifier		
["front"]	front	body specifier		
["each"]	each	body specifier		
["over"]	over	body specifier		
["under"]	under	body specifier		
["above"]	above	body specifier		
["upper"]	upper	body specifier		
["lower"]	lower	body specifier		
["left"]	left	body specifier		
["right"]	right	body specifier		
["middle"]	middle	body specifier		
["near"]	near	body specifier		
["between"]	between	body specifier		
["top"]	top	body specifier		
["outside"]	outside	body specifier		
["base"]	base	body specifier		
["end"]	end	body specifier		
["both"]	both	body specifier		
["bottom"]	bottom	body specifier		
["corner"]	corner	body specifier		
["outer"]	outer	body specifier		
["below"]	below	body specifier		
["same"]	same	body specifier		
["at"]	at	body specifier		
["tip"]	tip	body specifier		
["across"]	across	body specifier		
["bend"]	bend	body specifier		
["centre", "of"]	centre of	body specifier		
["centre"]	centre	body specifier		
				
				
				
##["hairy"]	hairy	adjective		
##["flat"]	flat	adjective		
["crooked"]	crooked	adjective		
["blotchy"]	blotchy	adjective		
["high"]	high	adjective		
["malformation"]	malformation	adjective		
##["bald"]	bald	adjective		
##["dimpled"]	dimpled	adjective		
["dark"]	dark	adjective		
["little"]	little	adjective		
["fair"]	fair	adjective		
["stout"]	stout	adjective		
["made"]	made	adjective		
["fresh"]	fresh	adjective		
["slight"]	slight	adjective		
["much"]	much	adjective		
["sallow"]	sallow	adjective		
##["very"]	very	adjective		
["flesh"]	flesh	adjective		
["mid"]	mid	adjective		
["inclined"]	inclined	adjective		
["crushed"]	crushed	adjective		
["round"]	round	adjective		
##["stiff"]	stiff	adjective		
["big"]	big	adjective		
["nearly"]	nearly	adjective		
##["weak"]	weak	adjective		
["deep"]	deep	adjective		
["obliterated"]	obliterated	adjective		
##["enlarged"]	enlarged	adjective		
["deeply"]	deeply	adjective		
				
				
				
				
				
				
				
				
["several"]	several	number		
["all"]	all	number		
["one"]	one	number		
["1"]	one	number		
["three"]	three	number		
["3"]	three	number		
["four"]	four	number		
["4"]	four	number		
["five"]	five	number		
["5"]	five	number		
["six"]	six	number		
["6"]	six	number		
["seven"]	seven	number		
["7"]	seven	number		
["eight"]	eight	number		
["8"]	eight	number		
["nine"]	nine	number		
["9"]	nine	number		
				
				
				
				
				
["women's", "head"]	women's head	design		
				
				
["root", "of", "nose"]	root of nose	body		
				
				
["point", "of"]	point of	body specifier		
["ball", "of"]	ball of	body specifier		
				
				
				
				
				
				
["london"]		stop		
["ireland"]		stop		
				
				
["complexion"]		stop		
["complex"]		stop		
["aged"]		stop		
["born"]		stop		
["soldier"]		stop		
["labr"]		stop		
["married"]		stop		
["kangaroo", "hunting"]		stop		
["on"]	on	stop		
["of"]	of	stop		
["been"]	been	stop		
["the"]	the	stop		
["which"]	which	stop		
["is"]	is	stop		
["to"]	to	stop		
["it"]	it	stop		
["from"]	from	stop		
["#"]	#	stop		
["ha"]	ha	stop		
["###"]	###	stop		
["an"]	an	stop		
["ditto"]	ditto	stop		
["f", ".", "s", "."]	fs	stop		
["a"]	a	stop		
["("]	a	stop		
[")"]	a	stop		
				
				
["crown", "of", "head"]		body		
["speaks", "english"]		stop		
["i", "n", "r", "i"]		written words	religion	
["i", "h", "s"]		written words	religion	
["h", "i", "s"]		written words	religion	
["i", "r"]		written words	religion	
["i", ".", "n", ".", "r", ".",  "i", "."]		written words	religion	
["i",  ".", "h",  ".", "s",  "."]		written words	religion	
["h",  ".", "i",  ".", "s",  "."]		written words	religion	
["i",  ".", "r",  "." ]		written words	religion	
